"Country","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year","Region","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","PTS_A","PTS_H","PTS_S","UN_hdi","UN_gdi","UN_gii","UN_iie","UN_iii","UN_iile","UN_imr","UN_ynis","UN_yu","TI_Corruption_Perception_Index","Ease.of.doing.business.index..1.most.business.friendly.regulations.","Fuel.exports....of.merchandise.exports.","GDP.at.market.prices..constant.2010.US..","GDP.growth..annual...","GDP.per.capita..constant.2010.US..","GDP..PPP..constant.2011.international...","Income.share.held.by.fourth.20.","Income.share.held.by.highest.10.","Income.share.held.by.highest.20.","Income.share.held.by.lowest.10.","Income.share.held.by.lowest.20.","Income.share.held.by.second.20.","Income.share.held.by.third.20.","Internally.displaced.persons..number..high.estimate.","Internally.displaced.persons..number..low.estimate.","Labor.force.participation.rate.for.ages.15.24..total......modeled.ILO.estimate.","Labor.force.participation.rate.for.ages.15.24..total......national.estimate.","Labor.force.participation.rate..total....of.total.population.ages.15....modeled.ILO.estimate.","Labor.force.participation.rate..total....of.total.population.ages.15....national.estimate.","Labor.force..female....of.total.labor.force.","Labor.force..total","Life.expectancy.at.birth..total..years.","Lifetime.risk.of.maternal.death....","Literacy.rate..adult.female....of.females.ages.15.and.above.","Literacy.rate..adult.male....of.males.ages.15.and.above.","Military.expenditure....of.GDP.","Mineral.rents....of.GDP.","Mobile.cellular.subscriptions..per.100.people.","Mortality.rate..under.5..per.1.000.live.births.","Net.bilateral.aid.flows.from.DAC.donors..Total..current.US..","Population.density..people.per.sq..km.of.land.area.","Population.growth..annual...","Population..total","Rural.population....of.total.population."
"Abkhazia","PF",5,5,2,1,2,5,2,1,1,1,5,1,1,1,3,0,0,13,1,2,2,3,8,1,2,1,4,1,1,1,1,4,1,1,2,1,5,21,34,2006,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",5,5,2,1,2,5,2,1,1,1,5,1,1,1,3,0,0,13,1,2,2,3,8,1,2,1,4,1,1,1,1,4,1,1,2,1,5,21,34,2007,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",5,5,2,1,2,5,2,2,1,1,6,1,1,2,4,0,0,15,1,2,2,3,8,1,2,1,4,1,1,1,1,4,1,1,2,1,5,21,36,2008,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",5,5,2,1,2,5,2,2,0,1,5,1,1,2,4,0,0,14,1,2,2,3,8,1,2,1,4,1,1,1,1,4,1,1,2,1,5,21,35,2009,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",5,5,2,1,2,5,2,2,0,1,5,1,1,2,4,0,0,14,1,2,1,3,7,2,2,1,5,1,1,1,1,4,1,1,2,1,5,21,35,2010,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",5,5,2,1,2,5,2,2,1,1,6,1,1,2,4,0,0,15,2,2,1,3,8,2,2,1,5,1,1,1,1,4,1,1,2,1,5,22,37,2011,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",5,5,3,1,2,6,2,2,2,1,7,1,1,2,4,0,0,17,2,2,1,3,8,2,2,1,5,1,1,1,1,4,1,1,2,1,5,22,39,2012,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",4,5,3,2,2,7,2,2,2,1,7,1,1,2,4,0,0,18,2,2,1,3,8,2,2,1,5,1,1,1,1,4,1,1,2,1,5,22,40,2013,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",4,5,3,2,2,7,2,2,2,1,7,1,1,2,4,0,0,18,2,2,1,3,8,2,2,1,5,1,1,1,1,4,1,1,2,1,5,22,40,2014,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",4,5,3,2,1,6,2,3,2,1,8,1,1,2,4,0,0,18,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,41,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abkhazia","PF",4,5,3,2,1,6,2,3,2,1,8,2,1,2,5,0,0,19,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,42,2016,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abkhazia","PF",4,5,3,2,1,6,2,3,2,1,8,1,1,2,4,0,0,18,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,41,2017,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","PF",5,5,2,2,2,6,2,2,1,2,7,1,1,1,3,0,0,16,1,1,1,2,5,2,2,1,5,1,1,1,1,4,2,1,1,1,5,19,35,2006,"Asia Pacific",99.8,7.9,9.6,9.1,7,8,7.5,8.3,8,8.2,8.2,8,5,NA,5,0.415,NA,"",NA,NA,NA,NA,"","","#N/A","0","0","10305228125","5.554137623","409.2036876","30065529260","0","0","0","0","0","0","0","132000","0","37.5","0","47.90000153","0","14.16985478","6309366","57.43256098","5.215934311","0","0","1.861299883","0","9.833164022","116.3","2638330000","38.57429617","3.161258348","25183615","76.763"
"Afghanistan","PF",5,5,2,2,2,6,2,2,1,2,7,2,1,1,4,0,0,17,1,1,1,2,5,2,2,1,5,1,1,0,1,3,2,1,1,1,5,18,35,2007,"Asia Pacific",102.3,8.5,8.9,9.1,7,8,8.3,8.8,8,8.2,9,8.5,5,NA,5,0.433,NA,"",NA,NA,NA,NA,"","","1.8","0","0","11721187594","13.74020499","452.9482239","34196594612","0","0","0","0","0","0","0","161000","0","37.5","0","47.90000153","0","14.50689547","6472005","57.83382927","4.768726853","0","0","2.237069422","0","17.71624331","113.2","3321110000","39.63720246","2.718198096","25877544","76.413"
"Afghanistan","PF",5,5,2,2,2,6,2,2,1,2,7,2,1,1,4,0,0,17,1,1,1,2,5,2,1,1,4,1,1,0,1,3,2,1,1,1,5,17,34,2008,"Asia Pacific",105.4,9.1,8.9,9.5,7,8.1,8.5,9.2,8.3,8.4,9.6,8.8,5,NA,5,0.434,NA,"",NA,NA,NA,NA,"","","1.5","0","0","12144482858","3.611368392","457.785873","35431559621","0","0","0","0","0","0","0","3430","235000","37.5","0","48","0","14.81498094","6643829","58.22502439","4.363613444","0","0","2.328002758","0","29.22037376","110.4","4351200000","40.63465521","2.485314572","26528741","76.054"
"Afghanistan","NF",5,6,2,2,2,6,2,2,1,2,7,2,0,1,3,0,0,16,1,1,1,2,5,2,1,1,4,1,0,0,1,2,2,1,1,1,5,16,32,2009,"Asia Pacific",108.2,9.3,8.9,9.6,7.2,8.4,8.3,9.8,8.9,8.8,9.9,9.1,5,NA,5,0.448,NA,"",NA,NA,NA,NA,"","","1.3","0","0","14697331941","21.02064874","540.1982851","42879503311","0","0","0","0","0","0","0","28435","297000","37.59999847","0","48","0","15.14748195","6821411","58.60368293","3.962104695","0","0","2.060751318","0","37.89493697","107.6","5519150000","41.67400515","2.525627754","27207291","75.687"
"Afghanistan","NF",6,6,1,2,1,4,2,1,1,2,6,1,0,0,1,0,0,11,1,1,1,2,5,2,1,1,4,1,0,0,1,2,2,1,1,1,5,16,27,2010,"Asia Pacific",109.3,9.5,9.2,9.7,7.2,8.2,8.3,10,8.9,9.2,9.7,9.4,5,NA,4,0.454,0.58,"0.7240000000000001",39.3,NA,NA,75.1,"","","1.4","0","0","15936800636","8.433290482","569.9407288","46495656382","0","0","0","0","0","0","0","71000","352000","37.59999847","0","48.09999847","0","15.53812459","7049139","58.97082927","3.543143567","0","0","1.897472751","0","35.97403913","105","5824910000","42.83032656","2.736885959","27962207","75.311"
"Afghanistan","NF",6,6,1,1,1,3,2,1,1,2,6,1,0,0,1,0,0,10,1,1,1,2,5,2,1,1,4,1,0,0,1,2,1,1,1,1,4,15,25,2011,"Asia Pacific",107.5,9.1,9.3,9.3,7.2,8.4,8,9.7,8.5,8.8,9.8,9.4,5,NA,5,0.463,0.594,"0.713",39.3,NA,NA,73.4,"","","1.5","0","0","16911126453","6.113685169","587.0050478","49338254431","0","0","0","0","0","0","0","3000","450000","37.59999847","0","48","49.79999924","15.75473475","7315166","59.32795122","3.118576394","17.61206245","45.417099","1.778592618","0","47.40646435","102.3","6294060000","44.1276338","2.983978666","28809167","74.926"
"Afghanistan","NF",6,6,1,1,1,3,2,1,1,2,6,1,0,0,1,0,0,10,1,1,1,2,5,2,1,1,4,0,0,0,1,1,0,1,1,1,3,13,23,2012,"Asia Pacific",106,8.9,9,9.4,7.4,8.1,7.7,9.5,8.5,8.5,9.7,9.4,4,NA,4,0.47,0.602,"0.701",39.3,NA,NA,71.7,"","","8","0","0","19352203806","14.43474129","651.001852","56460103814","0","0","0","0","0","0","0","29519","492000","37.59999847","0","47.90000153","0","15.86454434","7625167","59.67960976","2.750151257","0","0","1.144715113","0","51.43454705","99.5","5858490000","45.53319701","3.135546164","29726803","74.532"
"Afghanistan","NF",6,6,1,1,1,3,2,1,1,2,6,1,1,0,2,0,0,11,2,1,1,2,6,2,2,1,5,1,0,0,1,2,0,1,1,1,3,16,27,2013,"Asia Pacific",106.7,9.3,9.2,9.2,7.2,7.8,8.2,9.4,8.8,8.4,9.9,9.4,NA,5,5,0.476,0.607,"0.6890000000000001",45,10.8,10.8,69.9,"","","8","0","0","19731337261","1.959122893","643.081146","57566226633","0","0","0","0","0","0","0","17203","0","37.59999847","0","47.90000153","0","15.93967023","7982593","60.02826829","2.434606475","0","0","1.061433481","0.005023719","55.01222617","96.7","4621300000","46.99705909","3.164336274","30682500","74.129"
"Afghanistan","NF",6,6,1,1,1,3,2,1,1,2,6,1,1,0,2,0,0,11,2,1,1,2,6,2,1,1,4,1,0,0,1,2,0,1,1,1,3,15,26,2014,"Asia Pacific",106.5,8.8,9.3,8.7,7.8,7.5,8.3,9.5,9,8.3,10,9.4,4,5,5,0.479,0.609,"0.6759999999999999",44.8,10.8,10.8,68.1,"","","12","0","0","19990317161","1.312530908","632.0548057","58321801150","0","0","0","0","0","0","0","13350","0","37.59999847","0","47.79999924","0","16.0514395","8334374","60.37446341","2.153191318","0","0","1.334356678","0.00720665","58.84547053","93.9","4267320000","48.44454554","3.033472553","31627506","73.718"
