"","Country.Territory","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year.x","Region.x","pti.COW_Code_A","pti.COW_Code_N","pti.WordBank_Code_A","pti.UN_Code_N","pti.Region.y","pti.PTS_A","pti.PTS_H","pti.PTS_S","HDI.Country","unhdi.Human.Development.Index..HDI.","unhdi.Human.Dev.Category","unhdi.Life.expectancy.at.birth","unhdi.HDI.rank","unhdi.Expected.years.of.schooling","unhdi.Mean.years.of.schooling","unhdi.Gross.national.income..GNI..per.capita","unhdi.GNI.per.capita.rank.minus.HDI.rank","unhdi.Mobile.phone.subscriptions..per.100.people.","unhdi.Internet.users....of.population.","unhdi.Foreign.direct.investment..net.inflows....of.GDP.","unhdi.Private.capital.flows..","unhdi.Net.official.development.assistance.received","unhdi.Remittances..inflows","unhdi.Net.migration.rate","unhdi.Stock.of.immigrants","unhdi.International.student.mobility","unhdi.International.inbound.tourists","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","FSI_External.Intervention","TI_Rank","TI_CPI2015","TI_Country","TI_Region","TI_wbcode","TI_World.Bank.CPIA","TI_World.Economic.Forum.EOS","TI_Bertelsmann.Foundation.TI","TI_African.Dev.Bank","TI_IMD.World.Competitiveness.Yearbook","TI_Bertelsmann.Foundation.SGI","TI_World.Justice.Project.ROL","TI_PRS.International.Country.Risk.Guide","TI_Economist.Intelligence.Unit","TI_IHS.Global.Insight","TI_PERC.Asia.Risk.Guide","TI_Freedom.House.NIT","TI_CPI2015.2.","TI_Rank2","TI_Number.of.Sources","TI_Std.Deviation.of.Sources","TI_Standard.Error","TI_Minimum","TI_Maximum","TI_Lower.CI","TI_Upper.CI"
"1","Abkhazia","PF",4,5,3,2,1,6,2,3,2,1,8,1,1,2,4,0,0,18,2,2,1,3,8,3,2,1,6,1,1,1,1,4,1,1,2,1,5,23,41,2015,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Afghanistan","NF",6,6,1,1,1,3,2,1,1,2,6,1,1,0,2,0,0,11,1,1,1,2,5,2,1,1,4,1,0,0,1,2,0,1,0,1,2,13,24,2015,"Asia Pacific","AFG",700,"AFG",4,"sa",5,5,4,"Afghanistan","0.465","Low","60.4","171","9.3","3.2","1,885","-7",74.9,6.4,0.3,0,25.7,2.65,-2.6,0.3,"-5.8",NA,107.9,9.3,9.1,8.9,8.1,7.2,8.6,9.7,9.3,8.6,10,9.3,9.8,166,11,"Afghanistan","AP","AFG",12,NA,19,NA,NA,NA,2,NA,NA,11,NA,NA,11,166,4,6.98,3.49,2,19,5.2415,16.7585
"3","Albania","PF",3,3,3,3,2,8,3,4,3,3,13,3,1,2,6,0,0,27,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,67,2015,"Europe","ALB",339,"ALB",8,"eca",3,NA,2,"Albania","0.733","High","77.8","85","11.8","9.3","9,943","14",105.5,60.1,9.7,-8.3,2.3,8.46,-3.2,3.1,"-12.1","2,857",61.9,4.1,3.1,5,7.1,4.2,5.2,6.2,4.5,5.5,4.7,6.2,6.1,88,36,"Albania","ECA","ALB",NA,49,36,NA,NA,NA,18,41,38,32,NA,37,36,88,7,9.48,3.58,18,49,30.093,41.907
"4","Algeria","NF",6,5,1,2,1,4,1,1,1,1,4,1,1,1,3,0,0,11,1,1,2,3,7,1,1,2,4,1,1,1,2,5,2,2,2,1,7,23,34,2015,"Middle East and North Africa","ALG",615,"DZA",12,"mena",3,3,2,"Algeria","0.736","High","74.8","83","14.0","7.6","13,054","-1",93.3,18.1,0.8,-1,0.1,0.1,-0.3,0.7,"-1.1","2,634",79.6,5.7,6.4,8.2,5.1,6,6.4,7.8,5.8,7.1,8,7.7,5.4,88,36,"Algeria","MENA","DZA",NA,34,36,NA,NA,NA,NA,31,38,42,NA,NA,36,88,5,4.15,1.86,31,42,32.931,39.069
"5","Andorra","F",1,1,4,4,4,12,4,4,3,4,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,4,4,15,57,96,2015,"Europe","AND",232,"ADO",20,"eca",NA,NA,1,"Andorra","0.845","Very High","81.3","34","13.5","9.6","43,978","-18",82.6,95.9,NA,NA,NA,NA,NA,56.9,"-182.3","2,335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Angola","NF",6,5,0,2,1,3,2,1,1,2,6,1,0,0,1,0,0,10,1,2,2,2,7,1,2,1,4,1,1,1,1,4,1,1,1,0,3,18,28,2015,"Sub-Saharan Africa","ANG",540,"AGO",24,"ssa",3,3,3,"Angola","0.532","Low","52.3","149","11.4","4.7","6,822","-30",63.5,21.3,-5.7,10.7,0.3,0,0.6,0.4,NA,"650",88.1,8.7,7.6,7.3,6,9.6,5.6,8.3,8.9,7.3,6,7.2,5.6,163,15,"Angola","SSA","AGO",NA,17,15,NA,NA,NA,NA,12,21,11,NA,NA,15,163,5,4.02,1.8,11,21,12.03,17.97
"7","Antigua and Barbuda","F",2,2,4,4,3,11,3,4,3,3,13,3,2,2,7,0,0,31,2,4,4,4,14,3,3,3,9,3,3,4,3,13,4,3,3,3,13,49,80,2015,"Americas","AAB",58,"ATG",28,"lac",NA,NA,1,"Antigua and Barbuda","0.783","High","76.1","58","14.0","9.2","20,070","-1",120,64,11.2,-11.6,0.1,1.76,-0.1,31.9,"-19.0","244",57.8,4.6,3,3.9,7.3,5,5,5.9,3.9,4.5,5.2,3.7,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Argentina","F",2,2,4,4,3,11,4,3,4,3,14,3,1,2,6,0,0,31,2,4,4,4,14,4,4,3,11,2,3,3,3,11,3,3,4,3,13,49,80,2015,"Americas","ARG",160,"ARG",32,"lac",2,2,2,"Argentina","0.836","Very High","76.3","40","17.9","9.8","22,050","11",158.7,64.7,1.9,-1.7,0,0.09,-0.5,4.5,NA,"5,571",47.6,3.8,2,5,3,5.4,4.9,4.7,4.3,4.1,3.6,2.8,4,107,32,"Argentina","AME","ARG",NA,28,36,NA,25,NA,37,31,38,32,NA,NA,32,107,7,4.86,1.84,25,38,28.964,35.036
"9","Armenia","PF",5,4,1,2,2,5,2,2,1,2,7,1,1,2,4,0,0,16,2,2,2,3,9,2,2,2,6,1,1,2,2,6,3,2,2,2,9,30,46,2015,"Eurasia","ARM",371,"ARM",51,"eca",3,3,2,"Armenia","0.733","High","74.7","85","12.3","10.9","8,124","22",115.9,46.3,3.5,-10,2.7,21.01,-3.4,10.6,"-2.6","1,084",69.7,3.6,7,5.4,6,5,6,7,4.1,6.5,5.3,7,6.8,95,35,"Armenia","ECA","ARM",NA,45,28,NA,NA,NA,NA,31,NA,32,NA,37,35,95,5,6.66,2.98,28,45,30.083,39.917
"10","Australia","F",1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,97,2015,"Asia Pacific","AUL",900,"AUS",36,"eap",2,2,1,"Australia","0.935","Very High","82.4","2","20.2","13.0","42,261","17",131.2,84.6,3.3,-6.8,NA,0.16,6.5,27.7,"17.1","6,382",24.3,1.8,2.1,4.4,1,2.7,2.1,1.1,2,2.4,2.1,1.6,1,13,79,"Australia","AP","AUS",NA,81,NA,NA,82,81,81,79,71,83,74,NA,79,13,8,4.24,1.5,71,83,76.525,81.475
